RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
281,RED,"THOMPKINS, TREY",P005836,1,10.17,-1.55,-0.49,68.1
282,MIL,"KAMAGATE, ISMAEL",P011926,9,23.64,-2.25,-0.46,68.1
283,OLY,"LOUNTZIS, MICHALIS",P006302,14,116.2,-5.75,-0.53,68.0
284,ULK,"HAZER, SEHMUS",P011201,5,30.37,-3.35,-0.61,67.9
285,OLY,"MITROU-LONG, NAZ",P011965,7,58.02,-4.65,-0.61,67.9
286,BAS,"HRABAR, VIT",P012365,1,0.8,-0.9,-1.01,67.3
287,MAD,"GONZALEZ, HUGO",P011649,6,26.490000000000002,-5.45,-1.06,67.2
288,ZAL,"HOLLINS, AUSTIN",P009917,8,96.67,-10.2,-1.04,67.2
289,PAM,"DE LARREA, SERGIO",P010750,1,16.53,-6.1,-1.5,66.5
290,BAR,"SARR, DAME",P011666,2,2.9400000000000004,-2.9,-1.69,66.3
291,BAS,"RAIESTE, SANDER",P008850,25,165.3,-23.05,-1.79,66.1
292,MAD,"DIAGNE, ISMAILA",P010868,2,6.180000000000001,-4.65,-1.87,66.0
293,IST,"GAZI, ERTEN",P010516,10,87.46,-19.5,-2.08,65.7
294,ASV,"DALLO, BORIS",P003274,3,13.27,-9.9,-2.72,64.7
