GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
22,WOL,P006546,0 days 00:28:18,-11,56,67
22,WOL,P011248,0 days 00:27:46,-17,51,68
22,WOL,P012577,0 days 00:25:45,-6,56,62
22,WOL,P012003,0 days 00:25:20,-7,50,57
22,WOL,P012789,0 days 00:24:31,-12,48,60
22,WOL,P004645,0 days 00:18:50,-14,31,45
22,WOL,P008186,0 days 00:14:12,-12,19,31
22,WOL,P009306,0 days 00:03:28,-2,8,10
22,ULM,P013290,0 days 00:36:38,15,87,72
22,ULM,P011391,0 days 00:30:44,22,78,56
22,ULM,P006245,0 days 00:27:17,16,67,51
22,ULM,P006997,0 days 00:24:53,1,51,50
22,ULM,P012077,0 days 00:18:50,10,48,38
22,ULM,P011437,0 days 00:18:12,6,36,30
22,ULM,P010726,0 days 00:15:30,11,41,30
22,ULM,P013291,0 days 00:11:57,5,25,20
22,ULM,P007952,0 days 00:10:39,3,26,23
22,ULM,P012602,0 days 00:05:20,1,11,10
23,BES,P011924,0 days 00:28:30,-13,62,75
23,BES,P011927,0 days 00:28:06,-4,65,69
23,BES,P013255,0 days 00:28:04,-31,50,81
23,BES,P007914,0 days 00:27:12,2,64,62
23,BES,P008945,0 days 00:25:31,-2,61,63
23,BES,P011379,0 days 00:20:01,-22,38,60
23,BES,P009680,0 days 00:16:27,-10,29,39
23,BES,P010652,0 days 00:14:30,11,40,29
23,BES,P003783,0 days 00:11:39,-1,26,27
23,HTA,P004846,0 days 00:30:29,24,85,61
23,HTA,P013284,0 days 00:28:30,24,78,54
23,HTA,P001927,0 days 00:28:09,37,84,47
23,HTA,P010386,0 days 00:26:17,8,68,60
23,HTA,P011157,0 days 00:26:02,36,78,42
23,HTA,P010550,0 days 00:24:20,2,56,54
23,HTA,P012096,0 days 00:13:11,-22,21,43
23,HTA,P011386,0 days 00:10:36,-17,16,33
23,HTA,P005181,0 days 00:06:56,-11,12,23
23,HTA,P010465,0 days 00:05:30,-11,7,18
24,CAN,P008121,0 days 00:29:26,16,60,44
24,CAN,P011251,0 days 00:24:54,13,50,37
24,CAN,P006588,0 days 00:24:01,-14,34,48
24,CAN,P003425,0 days 00:23:58,17,52,35
24,CAN,P008966,0 days 00:20:07,21,43,22
24,CAN,P010452,0 days 00:19:24,13,38,25
24,CAN,P012095,0 days 00:17:11,-14,15,29
24,CAN,P010623,0 days 00:16:13,-14,14,28
24,CAN,P012016,0 days 00:16:06,-14,17,31
24,CAN,P005005,0 days 00:05:04,-6,0,6
24,CAN,P007560,0 days 00:03:36,-3,7,10
24,BAH,P011192,0 days 00:34:06,-2,60,62
24,BAH,P012711,0 days 00:28:03,-10,46,56
24,BAH,P011823,0 days 00:23:29,-5,39,44
24,BAH,P011201,0 days 00:23:20,1,38,37
24,BAH,P004172,0 days 00:22:45,1,32,31
24,BAH,P011821,0 days 00:21:29,-3,28,31
24,BAH,P003840,0 days 00:18:31,-6,31,37
24,BAH,P009601,0 days 00:17:49,1,27,26
24,BAH,P012405,0 days 00:10:28,8,14,6
25,TRN,P013271,0 days 00:29:56,-9,54,63
25,TRN,P012593,0 days 00:29:43,-19,49,68
25,TRN,P013272,0 days 00:26:07,-15,42,57
25,TRN,P013269,0 days 00:24:17,-10,40,50
25,TRN,P012687,0 days 00:21:18,-34,22,56
25,TRN,P013270,0 days 00:20:06,-2,38,40
25,TRN,P006724,0 days 00:19:34,-9,32,41
25,TRN,P005438,0 days 00:16:11,-5,27,32
25,TRN,P006382,0 days 00:12:48,-2,16,18
25,BUD,P011281,0 days 00:26:08,16,57,41
25,BUD,P011150,0 days 00:25:55,24,60,36
25,BUD,P005637,0 days 00:25:21,22,58,36
25,BUD,P008325,0 days 00:20:44,2,44,42
25,BUD,P012606,0 days 00:18:12,4,34,30
25,BUD,P006566,0 days 00:15:44,7,32,25
25,BUD,P006561,0 days 00:14:48,1,26,25
25,BUD,P013258,0 days 00:14:00,5,28,23
25,BUD,P012630,0 days 00:13:03,4,27,23
25,BUD,P004222,0 days 00:11:45,10,24,14
25,BUD,P010307,0 days 00:07:12,2,19,17
25,BUD,P013259,0 days 00:07:08,8,16,8
26,JER,P011970,0 days 00:27:49,8,66,58
26,JER,P010587,0 days 00:26:55,21,67,46
26,JER,P013277,0 days 00:24:17,14,58,44
26,JER,P013278,0 days 00:23:16,14,53,39
26,JER,P006625,0 days 00:21:47,15,51,36
26,JER,P010431,0 days 00:19:04,5,35,30
26,JER,P013276,0 days 00:18:08,-4,38,42
26,JER,P009879,0 days 00:13:32,-5,25,30
