Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
30,MUN,P005460,11.033,9,38,29
30,MUN,P007056,26.267,-6,64,70
30,MUN,P007201,19.583,1,55,54
30,MUN,P010391,26.784,3,68,65
30,MUN,P011052,11.833,1,33,32
30,MUN,P011224,25.867,6,79,73
30,MUN,P011244,24.25,-1,64,65
30,MUN,P011987,29.817,2,83,81
30,MUN,P012123,1.333,-3,2,5
30,PRS,P004197,17.083,-7,35,42
30,PRS,P005793,13.517,1,40,39
30,PRS,P010390,15.767,-8,32,40
30,PRS,P012608,27.215,-1,69,70
30,PRS,P012609,22.916,5,66,61
30,PRS,P012610,26.232,0,72,72
30,PRS,P012611,11.734,-1,33,34
30,PRS,P012612,6.75,-1,13,14
30,PRS,P012613,26.482,-3,67,70
30,PRS,P012640,16.8,1,57,56
30,PRS,P013373,15.499,4,51,47
31,MAD,P003108,20.817,-13,37,50
31,MAD,P003583,10.65,-4,17,21
31,MAD,P003733,13.984,19,42,23
31,MAD,P005791,29.301,7,72,65
31,MAD,P005928,31.684,9,77,68
31,MAD,P006540,23.051,13,60,47
31,MAD,P009005,23.467,-12,43,55
31,MAD,P009213,16.234,19,48,29
31,MAD,P011649,6.584,-2,14,16
31,MAD,P013378,7.733,-3,12,15
31,MAD,PTGB,16.5,-13,28,41
31,PAN,P001926,24.333,0,54,54
31,PAN,P002328,2.4,5,7,2
31,PAN,P003842,23.766,-4,51,55
31,PAN,P004088,16.266,0,40,40
31,PAN,P005161,21.333,-9,39,48
31,PAN,P005353,15.0,-1,31,32
31,PAN,P007866,11.816,-2,29,31
31,PAN,P009622,3.65,-11,3,14
